trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",20,5,-2.0213246787687558,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",25,11,19.28079094467633,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",20,0,19.880034532481087,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",20,13,12.155499250358591,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.19988761407514449}",20,4,2.7531636054990054,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,14,-14.39420013271632,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",30,7,21.357252822573596,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",25,10,5.031068640764134,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",25,9,8.927948932665572,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",25,5,17.577501010659745,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",20,4,22.65338073942543,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",20,10,12.01113352349669,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",30,16,23.449752514509598,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",25,11,-15.415846174296531,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",20,0,-66.081671993878,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",25,0,30.609484618063547,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,3,-15.951718676397057,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",25,8,12.00427651900825,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",20,0,22.42532749337918,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.01, 'e': 0.17204486382305054}",20,13,1.1940101434819483,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17033298882540943}",20,6,20.216647347000176,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1686381472685955}",25,11,16.313004236410066,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.16696016966704069}",30,9,31.09243743026372,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.16529888822158653}",20,14,8.679660704244633,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16365413680270405}",25,17,12.751949717232154,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.16202575093388075}",20,15,3.1506579466835865,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
